bg_pair,o_bg,d_bg,lat_dest,lon_dest,BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOOD_DISTRICT_NAME,NEIGHBORHOODS_INCLUDED,CRA_NAME,PCT_IN_VILLAGE,AREA,lon_origin,lat_origin
530330001003-530330043021,530330001003,530330043021,47.66493,-122.30515,530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.722809999999996
530330001003-530330052005,530330001003,530330052005,47.6626,-122.31946,530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.722809999999996
530330001003-530330071002,530330001003,530330071002,47.62173,-122.35361,530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.722809999999996
530330001003-530330079002,530330001003,530330079002,47.61392,-122.30702,530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.722809999999996
530330001003-530330081002,530330001003,530330081002,47.60683,-122.3343,530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.722809999999996
530330001004-530330018003,530330001004,530330018003,47.695409999999995,-122.34656000000001,530330001004,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1.0,1360694.3869999999,-122.29445,47.73194
530330001005-530330001002,530330001005,530330001002,47.72932,-122.29247,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330001003,530330001005,530330001003,47.722809999999996,-122.28945,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330001005,530330001005,530330001005,47.72293,-122.29444,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330002002,530330001005,530330002002,47.721790000000006,-122.30283,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330001005-530330004011,530330001005,530330004011,47.73015,-122.34948999999999,530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
