BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330102002,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330102003,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330102004,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
530330103001,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330103002,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330103003,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330103004,Columbia City,Residential Urban Village,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330103005,Columbia City,Residential Urban Village,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330104011,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104012,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104013,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104021,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104022,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104023,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330104024,Outside Villages,Outside Villages,Beacon Hill,3,Greater Duwamish
530330105001,West Seattle Junction,Hub Urban Village,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330105002,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330105003,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330105004,West Seattle Junction,Hub Urban Village,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
